ticket_id,timestamp,original_language,original_ticket,english_ticket,engineer_reply,translated_reply
T2,2026-06-13 00:23:23,English,My server is down urgently fix it,My server is down urgently fix it,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.
T3,2026-06-13 00:23:28,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.,समर्थन से संपर्क करने के लिए धन्यवाद. हमें आपका अनुरोध प्राप्त हुआ है और हमारी टीम 24 घंटे के भीतर समस्या का समाधान करेगी। यदि आपको और सहायता की आवश्यकता हो तो कृपया संपर्क करने में संकोच न करें।
T1,2026-06-13 00:25:05,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,sorry to hear this we will solve soon,"ఇది విన్నందుకు క్షమించండి, మేము త్వరలో పరిష్కరిస్తాము"
T2,2026-06-13 00:25:19,English,My server is down urgently fix it,My server is down urgently fix it,yeah sure we will,yeah sure we will
T3,2026-06-13 00:25:50,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,please contact technical team,कृपया तकनीकी टीम से संपर्क करें
T1_TELUGU,2026-06-13 00:33:59,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,okay sorry,సరే క్షమించండి
T2_ENGLISH,2026-06-13 00:34:16,English,My server is down urgently fix it,My server is down urgently fix it,yeah we will please be patient,yeah we will please be patient
T3_HINDI,2026-06-13 00:34:31,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,please clear the cookies,कृपया कुकीज़ साफ़ करें
T4_KANNADA,2026-06-13 00:44:55,Kannada,ನನ್ನ server down ಆಗಿದೆ. ದಯವಿಟ್ಟು ತಕ್ಷಣ fix ಮಾಡಿ.,My server is down. Please fix immediately.,& C:/Users/SANJANA/AppData/Local/Programs/Python/Python314/python.exe c:/Users/SANJANA/Downloads/multilingual-ticket-translator/main.py,& ಸಿ:/ಬಳಕೆದಾರರು/SANJANA/AppData/Local/Programs/Python/Python314/python.exe c:/Users/SANJANA/Downloads/multilingual-ticket-translator/main.py
T5_TAMIL,2026-06-13 00:45:11,Tamil,என் VPN சரியாக வேலை செய்யவில்லை. Azure portal-க்கு connect ஆக முடியவில்லை.,My VPN is not working properly. Azure Unable to connect to portal.,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.,"ஆதரவைத் தொடர்புகொண்டதற்கு நன்றி. உங்கள் கோரிக்கையை நாங்கள் பெற்றுள்ளோம், எங்கள் குழு 24 மணி நேரத்திற்குள் சிக்கலைத் தீர்க்கும். உங்களுக்கு மேலும் உதவி தேவைப்பட்டால் தயங்காமல் தொடர்பு கொள்ளவும்."
T1_TELUGU,2026-06-13 00:45:36,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,we will work on that,మేము దానిపై పని చేస్తాము
T2_ENGLISH,2026-06-13 00:45:51,English,My server is down urgently fix it,My server is down urgently fix it,okay sure please wait,okay sure please wait
T3_HINDI,2026-06-13 00:46:06,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,please clear caches,कृपया कैश साफ़ करें
T4_KANNADA,2026-06-13 00:46:24,Kannada,ನನ್ನ server down ಆಗಿದೆ. ದಯವಿಟ್ಟು ತಕ್ಷಣ fix ಮಾಡಿ.,My server is down. Please fix immediately.,yah we will get back to you,ಹೌದು ನಾವು ನಿಮ್ಮ ಬಳಿಗೆ ಹಿಂತಿರುಗುತ್ತೇವೆ
T5_TAMIL,2026-06-13 00:46:48,Tamil,என் VPN சரியாக வேலை செய்யவில்லை. Azure portal-க்கு connect ஆக முடியவில்லை.,My VPN is not working properly. Azure Unable to connect to portal.,sorry to hear this we will get back to you soon,"இதைக் கேட்டதற்கு வருந்துகிறோம், விரைவில் உங்களைத் தொடர்புகொள்வோம்"
SINGLE-001,2026-06-13 14:35:50,Kannada,"""ಈ ಸೇವೆಯು ಲಭ್ಯವಿದೆಯೇ?""","""Is this service available?""",yeah we will get back to you,ಹೌದು ನಾವು ನಿಮ್ಮ ಬಳಿಗೆ ಹಿಂತಿರುಗುತ್ತೇವೆ
T2_ENGLISH,2026-06-13 14:37:54,English,My server is down urgently fix it,My server is down urgently fix it,we will get back,we will get back
T1_TELUGU,2026-06-13 14:38:38,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,we will get back,మేము తిరిగి వస్తాము
T2_ENGLISH,2026-06-13 14:38:38,English,My server is down urgently fix it,My server is down urgently fix it,we will get back,we will get back
T3_HINDI,2026-06-13 14:38:41,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,we will get back,हम वापस आ जायेंगे
T4_KANNADA,2026-06-13 14:38:44,Kannada,ನನ್ನ server down ಆಗಿದೆ. ದಯವಿಟ್ಟು ತಕ್ಷಣ fix ಮಾಡಿ.,My server is down. Please fix immediately.,we will get back,ನಾವು ಹಿಂತಿರುಗುತ್ತೇವೆ
T5_TAMIL,2026-06-13 14:38:47,Tamil,என் VPN சரியாக வேலை செய்யவில்லை. Azure portal-க்கு connect ஆக முடியவில்லை.,My VPN is not working properly. Azure Unable to connect to portal.,we will get back,நாம் திரும்பப் பெறுவோம்
SINGLE-001,2026-06-13 14:46:46,Kannada,ನನ್ನ ಸಮಸ್ಯೆಯನ್ನು ಬಗೆಹರಿಸಲು ನೀವು ಯಾವಾಗ ಸಹಾಯ ಮಾಡಬಹುದು?,When can you help me solve my problem?,yeah we will get back to you,ಹೌದು ನಾವು ನಿಮ್ಮ ಬಳಿಗೆ ಹಿಂತಿರುಗುತ್ತೇವೆ
T3_HINDI,2026-06-13 14:54:34,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,we will get back,हम वापस आ जायेंगे
T2_ENGLISH,2026-06-13 14:54:34,English,My server is down urgently fix it,My server is down urgently fix it,we will get back,we will get back
SINGLE-001,2026-06-13 14:59:10,Kannada,ನನ್ನ ಸಮಸ್ಯೆಯನ್ನು ಬಗೆಹರಿಸಲು ನೀವು ಯಾವಾಗ ಸಹಾಯ ಮಾಡಬಹುದು?,When can you help me solve my problem?,we will solve soon please wait,ನಾವು ಶೀಘ್ರದಲ್ಲೇ ಪರಿಹರಿಸುತ್ತೇವೆ ದಯವಿಟ್ಟು ನಿರೀಕ್ಷಿಸಿ
SINGLE-001,2026-06-13 16:11:51,Kannada,"ಈ ಸೇವೆ ಎಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ?""","How long does this service take?""",Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ನಾವು ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸ್ವೀಕರಿಸಿದ್ದೇವೆ ಮತ್ತು ಪರಿಹಾರಕ್ಕಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ. ನಾವು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ನವೀಕರಣವನ್ನು ಒದಗಿಸುತ್ತೇವೆ.
SINGLE-001,2026-06-13 16:12:08,Kannada,"ಈ ಸೇವೆ ಎಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ?""","How long does this service take?""",yah we will get back to you,ಹೌದು ನಾವು ನಿಮ್ಮ ಬಳಿಗೆ ಹಿಂತಿರುಗುತ್ತೇವೆ
T4_KANNADA,2026-06-13 16:14:58,Kannada,ನನ್ನ server down ಆಗಿದೆ. ದಯವಿಟ್ಟು ತಕ್ಷಣ fix ಮಾಡಿ.,My server is down. Please fix immediately.,we will review your issue,ನಾವು ನಿಮ್ಮ ಸಮಸ್ಯೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತೇವೆ
T2_ENGLISH,2026-06-13 16:14:58,English,My server is down urgently fix it,My server is down urgently fix it,okay we will contact technical team,okay we will contact technical team
T3_HINDI,2026-06-13 16:15:00,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,we will see soon,हम जल्द ही देखेंगे
T5_TAMIL,2026-06-13 16:15:02,Tamil,என் VPN சரியாக வேலை செய்யவில்லை. Azure portal-க்கு connect ஆக முடியவில்லை.,My VPN is not working properly. Azure Unable to connect to portal.,Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,"ஆதரவைத் தொடர்புகொண்டதற்கு நன்றி. உங்கள் கோரிக்கையை நாங்கள் பெற்றுள்ளோம், மேலும் தீர்வுக்கான முயற்சியில் ஈடுபட்டுள்ளோம். கூடிய விரைவில் புதுப்பிப்பை வழங்குவோம்."
T1_TELUGU,2026-06-13 16:15:04,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,మద్దతును సంప్రదించినందుకు ధన్యవాదాలు. మేము మీ అభ్యర్థనను స్వీకరించాము మరియు పరిష్కారం కోసం పని చేస్తున్నాము. మేము వీలైనంత త్వరగా నవీకరణను అందిస్తాము.
SINGLE-001,2026-06-13 16:35:30,Kannada,ನನ್ನ ಸೇವಾ ಸಮಸ್ಯೆಯನ್ನು ದಯವಿಟ್ಟು ಪರಿಹರಿಸಿ.,Please resolve my service issue.,okay we will get back to you,ಸರಿ ನಾವು ನಿಮ್ಮ ಬಳಿಗೆ ಹಿಂತಿರುಗುತ್ತೇವೆ
SINGLE-001,2026-06-13 16:35:44,Kannada,ನನ್ನ ಸೇವಾ ಸಮಸ್ಯೆಯನ್ನು ದಯವಿಟ್ಟು ಪರಿಹರಿಸಿ.,Please resolve my service issue.,Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ನಾವು ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸ್ವೀಕರಿಸಿದ್ದೇವೆ ಮತ್ತು ಪರಿಹಾರಕ್ಕಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ. ನಾವು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ನವೀಕರಣವನ್ನು ಒದಗಿಸುತ್ತೇವೆ.
T11,2026-06-13 16:38:42,Kannada,ನನ್ನ ಸೇವಾ ಸಮಸ್ಯೆಯನ್ನು ದಯವಿಟ್ಟು ಪರಿಹರಿಸಿ.,Please resolve my service issue.,we will review your issue,ನಾವು ನಿಮ್ಮ ಸಮಸ್ಯೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತೇವೆ
T10,2026-06-13 16:38:43,Kannada,ನನ್ನ ಸಮಸ್ಯೆಯನ್ನು ದಯವಿಟ್ಟು ಬಗೆಹರಿಸಿ.,Please solve my problem.,may i know your exact problem,ನಿಮ್ಮ ಸಮಸ್ಯೆಯನ್ನು ನಾನು ನಿಖರವಾಗಿ ತಿಳಿಯಬಹುದೇ?
T9,2026-06-13 16:38:45,Hindi,"मेरे इंटरनेट की स्पीड बहुत कम आ रही है, कृपया इसे जल्द से जल्द ठीक करें।","My internet speed is very low, please fix it as soon as possible.",okay we will contact technical team,ठीक है हम तकनीकी टीम से संपर्क करेंगे
T8,2026-06-13 16:38:45,English,"""My internet service has been down since yesterday, and I need an urgent technician visit to get it fixed.""","""My internet service has been down since yesterday, and I need an urgent technician visit to get it fixed.""",we will see soon,we will see soon
T5_TAMIL,2026-06-13 16:38:48,Tamil,என் VPN சரியாக வேலை செய்யவில்லை. Azure portal-க்கு connect ஆக முடியவில்லை.,My VPN is not working properly. Azure Unable to connect to portal.,okay we will contact to the technical team,"சரி, நாங்கள் தொழில்நுட்பக் குழுவைத் தொடர்புகொள்வோம்"
T3_HINDI,2026-06-13 16:38:51,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,please refresh the browser,कृपया ब्राउज़र को ताज़ा करें
T7,2026-06-13 16:38:53,Tamil,"வணக்கம். நான் கடந்த வாரம் உங்கள் இணையதளம் மூலம் வாங்கிய 'A-55' மாடல் ஸ்மார்ட்போனில் பேட்டரி மிக வேகமாகத் தீர்கிறது. மேலும், போன் சூடாகவும் ஆகிறது. இந்தச் சேவைப் பிரச்சனையைச் சரிசெய்ய நான் என்ன செய்ய வேண்டும்?""","hello The 'A-55' model smartphone which I bought from your website last week is draining the battery very fast. Also, the phone gets hot. What should I do to fix this service problem?""",Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,"ஆதரவைத் தொடர்புகொண்டதற்கு நன்றி. உங்கள் கோரிக்கையை நாங்கள் பெற்றுள்ளோம், மேலும் தீர்வுக்கான முயற்சியில் ஈடுபட்டுள்ளோம். கூடிய விரைவில் புதுப்பிப்பை வழங்குவோம்."
T6,2026-06-13 16:38:55,Kannada,"ಈ ಸೇವೆ ಎಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ?""","How long does this service take?""",Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ನಾವು ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸ್ವೀಕರಿಸಿದ್ದೇವೆ ಮತ್ತು ಪರಿಹಾರಕ್ಕಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ. ನಾವು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ನವೀಕರಣವನ್ನು ಒದಗಿಸುತ್ತೇವೆ.
T4_KANNADA,2026-06-13 16:38:56,Kannada,ನನ್ನ server down ಆಗಿದೆ. ದಯವಿಟ್ಟು ತಕ್ಷಣ fix ಮಾಡಿ.,My server is down. Please fix immediately.,Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ನಾವು ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸ್ವೀಕರಿಸಿದ್ದೇವೆ ಮತ್ತು ಪರಿಹಾರಕ್ಕಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ. ನಾವು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ನವೀಕರಣವನ್ನು ಒದಗಿಸುತ್ತೇವೆ.
T2_ENGLISH,2026-06-13 16:38:56,English,My server is down urgently fix it,My server is down urgently fix it,Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.,Thank you for contacting support. We have received your request and are working on a resolution. We will provide an update as soon as possible.
